Quebrada,transect,longtrans,dist,distm,ind
Cocalito,Co1,131,76,0.76,1
Cocalito,Co1,131,5,0.05,1
Cocalito,Co1,131,0,0.00,1
Cocalito,Co1,131,105,1.05,1
Cocalito,Co1,131,20,0.20,1
Cocalito,Co1,131,0,0.00,1
Cocalito,Co1,131,10,0.10,1
Cocalito,Co1,131,50,0.50,1
Cocalito,Co1,131,8,0.08,1
Cocalito,Co1,131,50,0.50,1
Cocalito,Co1,131,15,0.15,1
Cocalito,Co1,131,110,1.10,1
Cocalito,Co1,131,0,0.00,1
Cocalito,Co1,131,22,0.22,1
Cocalito,Co1,131,0,0.00,1
Cocalito,Co2,133,7,0.07,1
Cocalito,Co2,133,18,0.18,1
Cocalito,Co2,133,50,0.50,1
Cocalito,Co2,133,50,0.50,1
Cocalito,Co2,133,50,0.50,1
Cocalito,Co2,133,70,0.70,1
Cocalito,Co2,133,10,0.10,1
Cocalito,Co2,133,43,0.43,1
Cocalito,Co2,133,35,0.35,1
Cocalito,Co2,133,30,0.30,1
Cocalito,Co2,133,0,0.00,1
Cocalito,Co2,133,0,0.00,1
Cocalito,Co2,133,30,0.30,1
Cocalito,Co2,133,105,1.05,1
Cocalito,Co2,133,41,0.41,1
Cocalito,Co2,133,150,1.50,1
Cocalito,Co2,133,1,0.01,1
Cocalito,Co3,160,0,0.00,1
Cocalito,Co3,160,0,0.00,1
Cocalito,Co3,160,33,0.33,1
Cocalito,Co3,160,60,0.60,1
Cocalito,Co3,160,30,0.30,1
Cocalito,Co3,160,40,0.40,1
Cocalito,Co3,160,37,0.37,1
Cocalito,Co3,160,61,0.61,1
Cocalito,Co3,160,85,0.85,1
Cocalito,Co3,160,200,2.00,1
Cocalito,Co3,160,180,1.80,1
Cocalito,Co3,160,46,0.46,1
Cocalito,Co3,160,250,2.50,1
Cocalito,Co3,160,35,0.35,1
Cocalito,Co3,160,15,0.15,1
Cocalito,Co3,160,0,0.00,1
Cocalito,Co3,160,10,0.10,1
Cocalito,Co3,160,55,0.55,1
Cocalito,Co3,160,5,0.05,1
Cocalito,Co3,160,51,0.51,1
Cocalito,Co3,160,41,0.41,1
Cocalito,Co3,160,105,1.05,1
Cocalito,Co3,160,20,0.20,1
Cocalito,Co3,160,0,0.00,1
Cocalito,Co3,160,75,0.75,1
Cocalito,Co3,160,84,0.84,1
Cocalito,Co3,160,1,0.01,1
Cocalito,Co3,160,77,0.77,1
Cocalito,Co3,160,0,0.00,1
Cocalito,Co3,160,0,0.00,1
Aguada,Ag4,120,100,1.00,1
Aguada,Ag4,120,40,0.40,1
Aguada,Ag4,120,60,0.60,1
Aguada,Ag4,120,140,1.40,1
Aguada,Ag4,120,35,0.35,1
Aguada,Ag4,120,43,0.43,1
Aguada,Ag4,120,410,4.10,1
Aguada,Ag4,120,410,4.10,1
Aguada,Ag4,120,91,0.91,1
